Номер_закладу_в_АІКОМ,Повна_назва_закладу,Назва_ТГ,Тип_простору,Формат_роботи,longitude,latitude,hromada_id,region_name,risk_bucket,is_mountain
10466,Агрономічненський ліцей Агрономічної сільської ради Вінницького району Вінницького області,Агрономічна сільська територіальна громада,2026 Пілот старшої профільної,Очно,28.371761,49.1882,UA05020010000053508,Вінницька,Задовільний,FALSE
8167,"Комунальний заклад ""Ліцей №2 селища Стрижавка Вінницького району Вінницької області",Стрижавська селищна територіальна громада,2026 Пілот старшої профільної,Очно,28.496561050415043,49.31784206286486,UA05020230000029909,Вінницька,Задовільний,FALSE
6266,Ліцей №3 Калинівської міської ради Вінницької області,Калинівська міська  територіальна громада,2026 Пілот старшої профільної,Очно,28.525804,49.433947,UA05120070000075759,Вінницька,Задовільний,FALSE
11370,Городківський ліцей №1 Городківської сільської ради Тульчинського району Вінницької області,Городківська сільська територіальна громада,2026 Пілот старшої профільної,Очно,28.695595,48.367321,UA05100050000038768,Вінницька,Високий,FALSE
17322,"ОЗЗСО ""Затурцівський ліцей ім.В.К.Липинського"" Затурцівської сільської ради Володимирського району Волинської області",Затурцівська сільська територіальна громада,2026 Пілот старшої профільної,Очно,24.837358,50.780514,UA07020030000052032,Волинська,Задовільний,FALSE
17194,Цуманський ліцей Цуманської селищної ради Волинської області,Цуманська селищна територіальна громада,2026 Пілот старшої профільної,Очно,25.884775,50.834496,UA07080290000088287,Волинська,Задовільний,FALSE
17325,"ОЗЗСО ""Локачинський ліцей"" Локачинської селищної ради Володимирського району Волинської області",Локачинська селищна територіальна громада,2026 Пілот старшої профільної,Очно,24.6496421,50.74032159999999,UA07020110000037373,Волинська,Задовільний,FALSE
17157,Опорний заклад загальної середньої освіти Раково-Ліський ліцей,Камінь-Каширська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.9212799,51.6218817,UA07040010000033507,Волинська,Високий,FALSE
17562,Нововолинський ліцей №8 Нововолинської міської ради Волинської області,Нововолинська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.17927,50.724256,UA07020130000036300,Волинська,Задовільний,FALSE
3315,Знаменівський ліцей Піщанської сільської ради Самарівського району Дніпропетровської області,Піщанська сільська територіальна громада,2026 Пілот старшої профільної,Очно,35.45067062946192,48.62943412957929,UA12100110000043499,Дніпропетровська,Високий,FALSE
