Номер закладу в АІКОМ,Повна назва закладу,Назва ТГ,Тип простору,Формат роботи,longitude,latitude,hromada id,region name,risk bucket
10466,Агрономічненський ліцей Агрономічної сільської ради Вінницького району Вінницького області,Агрономічна сільська,2026 НУШ,Очно,28.371761,49.1882,UA05020010000053508,Вінницька,Задовільний
8167,"Комунальний заклад ""Ліцей №2 селища Стрижавка Вінницького району Вінницької області",Стрижавська селищна,2026 НУШ,Очно,28.496561050415043,49.31784206286486,UA05020230000029909,Вінницька,Задовільний
6266,Ліцей №3 Калинівської міської ради Вінницької області,Калинівська міська,2026 НУШ,Очно,28.525804,49.433947,UA05120070000075759,Вінницька,Задовільний
11370,Городківський ліцей №1 Городківської сільської ради Тульчинського району Вінницької області,Городківська сільська,2026 НУШ,Очно,28.695595,48.367321,UA05100050000038768,Вінницька,Високий
17322,"ОЗЗСО ""Затурцівський ліцей ім.В.К.Липинського"" Затурцівської сільської ради Володимирського району Волинської області",Затурцівська сільська,2026 НУШ,Очно,24.837358,50.780514,UA07020030000052032,Волинська,Задовільний
17194,Цуманський ліцей Цуманської селищної ради Волинської області,Цуманська селищна,2026 НУШ,Очно,25.884775,50.834496,UA07080290000088287,Волинська,Задовільний
17325,"ОЗЗСО ""Локачинський ліцей"" Локачинської селищної ради Володимирського району Волинської області",Локачинська селищна,2026 НУШ,Очно,24.6496421,50.74032159999999,UA07020110000037373,Волинська,Задовільний
17157,Опорний заклад загальної середньої освіти Раково-Ліський ліцей,Камінь-Каширська міська,2026 НУШ,Очно,24.9212799,51.6218817,UA07040010000033507,Волинська,Високий
17562,Нововолинський ліцей №8 Нововолинської міської ради Волинської області,Нововолинська міська,2026 НУШ,Очно,24.17927,50.724256,UA07020130000036300,Волинська,Задовільний
3315,Знаменівський ліцей Піщанської сільської ради Самарівського району Дніпропетровської області,Піщанська сільська,2026 НУШ,Очно,35.45067062946192,48.62943412957929,UA12100110000043499,Дніпропетровська,Високий
3031,Криворізький ліцей№81 Криворізької міської ради,Криворізька міська,2026 НУШ,Очно,33.444835,47.936173,UA12060170000091033,Дніпропетровська,Високий
2951,Дніпровський ліцей №97 Дніпровської міської ради,Дніпровська міська,2026 НУШ,Очно,34.918117,48.479477,UA12020010000033698,Дніпропетровська,Високий
3422,"Комунальний заклад ""Ліцей №39"" Кам'янської міської ради",Камʼянська міська,2026 НУШ,Очно,34.570173,48.601793,UA12040150000015189,Дніпропетровська,Високий
3004,Криворізький ліцей 119Криворізької міської ради,Криворізька міська,2026 НУШ,Очно,33.443712,47.955842,UA12060170000091033,Дніпропетровська,Високий
16834,Гришковецький ліцей Гришковецької селищної ради Бердичівського району Житомирської області,Гришковецька селищна,2026 НУШ,Очно,28.60572307904403,49.92923460185865,UA18020070000083539,Житомирська,Задовільний
15993,Ружинський ліцей Ружинської селищної ради Житомирської області,Ружинська селищна,2026 НУШ,Очно,29.203188,49.720932,UA18020130000096761,Житомирська,Задовільний
15690,Ліцей №34 міста Житомира,Житомирська міська,2026 НУШ,Очно,28.689091,50.251127,UA18040190000029215,Житомирська,Помірний
15965,Миропільський ліцей Житомирської області,Миропільська міська,2026 НУШ,Очно,27.713098,50.107165,UA18040310000093693,Житомирська,Задовільний
15613,Ліцей № 4 м. Бердичева Житомирської області,Бердичівська міська,2026 НУШ,Очно,28.593232,49.888316,UA18020030000035625,Житомирська,Помірний
15575,Андрушівський ліцей №2 Андрушівської міської ради Бердичівського району Житомирської області,Андрушівська міська,2026 НУШ,Очно,29.017794,50.014123,UA18020010000059904,Житомирська,Задовільний
15651,Іршанський ліцей Житомирської області,Іршанська селищна,2026 НУШ,Очно,28.7190171,50.749133,UA18060070000095797,Житомирська,Помірний
15837,Ліцей № 1 імені Лесі Українки Звягельської міської ради,Звягельська міська,2026 НУШ,Очно,27.615514,50.594408,UA18080150000022496,Житомирська,Помірний
19122,"Лазещинський заклад загальної середньої освіти І - ІІІ ступенів, Ясінянської селищної ради, Рахівського району Закарпатської області",Ясінянська селищна,2026 НУШ,Очно,24.414817,48.273857,UA21060070000049340,Закарпатська,Задовільний
18717,Великолазівський ліцей Баранинської сільської ради Закарпатської області,Баранинська сільська,2026 НУШ,Очно,22.382963,48.55818,UA21100010000070243,Закарпатська,Задовільний
19222,Ганичівський опорний заклад загальної середньої освіти І-ІІІ ступенів Нересницької сільської ради Тячівського району Закарпатської області,Нересницька сільська,2026 НУШ,Очно,23.839177,48.125407,UA21080090000024861,Закарпатська,Задовільний
19178,Солотвинський ліцей-інтернат з румунською мовою навчання імені М.Емінеску Солотвинської селищної ради Тячівського району Закарпатської області,Соловинська селищна,2026 НУШ,Очно,23.875585,47.94892,UA21080110000054940,Закарпатська,Задовільний
19115,Верхньоводянський заклад загальної середньої освіти І-ІІІ ступенів №1 Великобичківської селищної ради Рахівської району Закарпатської області,Великобичківська селищна,2026 НУШ,Очно,23.952445,48.002755,UA21060030000020114,Закарпатська,Задовільний
19268,Ужгородський ліцей імені Августина Волошина Ужгородської міської ради Закарпатської області,Ужгородська міська,2026 НУШ,Очно,22.2777412,48.60562729999999,UA21100230000083101,Закарпатська,Задовільний
19233,"Нижньоапшанський ліцей """"Апша""""
Солотвинської селищної ради Тячівського району Закарпатської
області",Солотвинська селищна,2026 НУШ,Очно,23.826133,48.000283,UA21080110000054940,Закарпатська,Задовільний
703,"Ліцей ""Всесвіт"" Матвіївської сільської ради",Матвіївська сільська,2026 НУШ,Очно,35.313519,47.907878,UA23060130000058533,Запорізька,Дуже високий
1642,"Запорізький академічний ліцей ""Елінт"" Запорізької міської ради",Запорізька міська,2026 НУШ,Очно,35.070238,47.889851,UA23060070000082704,Запорізька,Дуже високий
